"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"B";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";
"1";"";"FE05-1";"FE05-1";"SV1";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"D4";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MA20-2";"MA20-2";"SV4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"1";"";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SI5351A_CLOCK_GEN";"MSOP-10";"U1";"Si5351A I2C-PROGRAMMABLE ANY-FREQUENCY CMOS CLOCK GENERATOR + VCXO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"SJ";"SJ";"SJ3, SJ4, SJ6";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SJ2W";"SJ_2";"SJ2";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"W237-3E";"W237-3E";"RS485";"WAGO SREW CLAMP";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"4";"0";"R-EU_R0603";"R0603";"R1, R3, R4, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10";"R-EU_R0603";"R0603";"R21, R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100";"R-EU_R0603";"R0603";"R35";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100k";"R-EU_R0603";"R0603";"R28, R29";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"33";"100nF";"C-EUC0603";"C0603";"C1, C2, C3, C5, C7, C8, C11, C13, C17, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C44, C45, C46, C47, C58, C59, C60, C61, C64, C65";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10CL016YE144C8G";"10CL016YE144C8G";"QFP50P2200X2200X165-145N";"IC1";"FPGA - Field Programmable Gate Array";"";"";"FPGA - Field Programmable Gate Array";"1.65mm";"Intel";"10CL016YE144C8G";"";"989-10CL016YE144C8G";"https://www.mouser.com/Search/Refine.aspx?Keyword=989-10CL016YE144C8G";"";"";"";"";"";"";"";
"2";"10k";"744-8NS";"744-8NS";"RN2, RN13";"CTS 744 Series";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"10k";"R-EU_R0603";"R0603";"R5, R11, R18, R24, R25, R33, R34, R36";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22";"10uF X5R";"C-EUC0805K";"C0805K";"C10, C14, C15, C16, C18, C20, C22, C24, C25, C26, C41, C42, C43, C50, C51, C52, C53, C54, C55, C78, C79, C80";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"120";"R-EU_R0603";"R0603";"R23";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"12MHz";"XTAL/S";"QS";"Q1";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"16pF";"C-EUC0603";"C0603";"C4, C6, C81, C82";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"1k";"744-8NS";"744-8NS";"RN1, RN3, RN5, RN6, RN7";"CTS 744 Series";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1k";"R-EU_R0603";"R0603";"R8, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"200";"R-EU_R0603";"R0603";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"211k";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"22pF";"C-EUC0603";"C0603";"C9, C12, C23, C49";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"25MHz";"XTAL/S";"QS";"Q2";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"25R";"R-EU_R0603";"R0603";"R37";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"2k2";"R-EU_R0603";"R0603";"R26, R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"3.3uH 1.9A PWR";"SLF7032T3R3M1R9-2-PF";"SLF7032T";"L2, L3, L4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"32k";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330uF 10V (10tpe330m)";"CPOL-EUD/7343-31W";"D/7343-31W";"C21";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"47k";"R-EU_R0603";"R0603";"R20";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"AP3429";"AP3429";"TSOT-25";"U$3, U$7, U$11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Any 3.3v rs485 ";"SN65176D";"SO-08";"IC2";"DIFFERENTIAL BUS TRANSCEIVER";"";"";"";"";"";"";"TEXAS INSTRUMENTS";"";"";"";"SN65176BD";"9589970";"08F5891";"";"";"";
"6";"B-EU";"B-EU";"C0603";"B1, B2, B3, B4, B5, B6";"Standart ferrite beads 100mhz 0603";"";"1.2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Bi TVS 5V";"DIODESOD-523";"SOD-523";"D1";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Ground pad for FPGA";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"H1";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"HDMI";"HDMI";"HDMI_A";"U$1";"Horizonal HDMI type "A" jack";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"IP4234CZ6,125";"IP4234CZ6,125";"SOT95P275X110-6N";"D2, D3";"TVS DIODE 5.5VWM 6TSOP";"";"";"TVS DIODE 5.5VWM 6TSOP";"1.1mm";"Nexperia";"IP4234CZ6,125";"";"771-IP4234CZ6125";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-IP4234CZ6125";"";"";"";"";"";"";"";
"1";"IS25LQ040B-JNLE";"IS25LQ040B-JNLE";"SOIC8";"U4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"LED0805";"LED0805";"CHIPLED_0805";"LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"M02LOCK";"M02LOCK";"1X02_LOCK";"JP1";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"MINI-USB-32005-201";"MINI-USB-32005-201";"32005-201";"X1, X2";"MINI USB-B Conector";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"1";"NTR2101P";"MOSFET-PCHANNELIRLML2244";"SOT23-3";"Q3";"Generic PMOSFET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11153";
"1";"OSCILLATOR5X3_SOLDER";"OSCILLATOR5X3_SOLDER";"CRYSTAL-SMD-5X3_SOLDER";"U2";"Generic 5x3 and 7x5 oscillators";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PIC18F14K50-I/SS";"PIC18F14K50-I/SS";"SOP65P780X200-20N";"U3";"Flash Microcontrollers";"Unavailable";"";" PIC18 Series 768 B RAM 16 kB Flash 8-Bit Enhanced Microcontroller - SSOP-20 ";"";"";"";"Microchip";"";"";"PIC18F14K50-I/SS";"";"";"";"SSOP-20 Microchip";"None";"";
"1";"RGBLED5050";"RGBLED5050";"RGBLED5050";"LED8";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"SKQGADE010";"SKQGADE010";"SKQGAKE010";"S1, S2, S3, S4, S5";"Tact switch,SMT,SPST,with stem,2.55N o/f Stem Tactile Switch, SPST-NO 50 mA 1.5mm";"";"";"Tact switch,SMT,SPST,with stem,2.55N o/f Stem Tactile Switch, SPST-NO 50 mA 1.5mm";"mm";"ALPS";"SKQGADE010";"";"688-SKQGAD";"https://www.mouser.com/Search/Refine.aspx?Keyword=688-SKQGAD";"";"";"";"";"";"";"";
"1";"SWS004";"SWS004";"SMS-004";"S6";"SMD Dip Switch 4 pol.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
